tu,nghia,chu_de
Paranormal, Siêu phàm,bí ẩn
Conspiracy theory, Lý thuyết âm mưu,bí ẩn
Disappear, Biến mất,bí ẩn
Murder, Án mạng,bí ẩn
Cemetery, Nghĩa trang,bí ẩn
Zombie, Xác sống,bí ẩn
Poltergeist, Hồn ma nghịch ngợm,bí ẩn
Psychic, Người có khả năng tâm linh,bí ẩn
Supernatural being, Thực thể siêu nhiên,bí ẩn
Séance, Cuộc họp tâm linh,bí ẩn
Medium, Trung gian tâm linh,bí ẩn
Apparition, Sự hiện diện đáng sợ,bí ẩn
Possession, Sự sở hữu bởi thực thể siêu nhiên,bí ẩn
Myth, Huyền thoại,bí ẩn
Legend, Truyền thuyết,bí ẩn
Mythical creature, Thực thể huyền bí,bí ẩn
Curse, Lời nguyền,bí ẩn
Haunted house, Nhà ma ám,bí ẩn
Witchcraft, Phép thuật phù thủy,bí ẩn
Occultism, Học thuật về thuật bí ẩn,bí ẩn
Urban legend, Truyền thuyết đô thị,bí ẩn
Supernatural power, Sức mạnh siêu nhiên,bí ẩn
Mystic, Người huyền bí,bí ẩn
Mysticism, Huyền bí học,bí ẩn
Parapsychology, Tâm lý học siêu nhiên,bí ẩn
Ouija board, Bảng Ouija,bí ẩn
Vampire, Ma cà rồng,bí ẩn
Werewolf, Người sói,bí ẩn
Mummy, Xác ướp,bí ẩn
Bermuda Triangle, Tam giác Bermuda,bí ẩn
Conspiracy theory, Lý thuyết âm mưu,bí ẩn
Bizarre, Kỳ dị,bí ẩn
Surreal, Siêu thực,bí ẩn
Supernatural fiction, Tiểu thuyết siêu nhiên,bí ẩn
Occultist, Người nghiên cứu thuật bí ẩn,bí ẩn
Alien abduction, Sự bắt cóc bởi người ngoài hành tinh,bí ẩn
Occult practices, Các thực hành thuật bí ẩn,bí ẩn
Satellite,Vệ tinh,vũ trụ
Gravity,Trọng lực,vũ trụ
Cosmonaut,Phi hành gia (nước Nga),vũ trụ
Lunar,Liên quan đến Mặt Trăng,vũ trụ
Solar System,Hệ Mặt Trời,vũ trụ
Comet,Sao chổi,vũ trụ
Universe,Vũ trụ,vũ trụ
Astronomer,Nhà thiên văn học,vũ trụ
Space Station,Trạm không gian,vũ trụ
Astronomical,Liên quan đến thiên văn học,vũ trụ
Extravehicular Activity (EVA),Hoạt động ngoài trạm không gian,vũ trụ
Star,Ngôi sao,vũ trụ
Interstellar,Liên sao,vũ trụ
Gravity Assist,Hỗ trợ trọng lực,vũ trụ
Space Probe,Tàu thăm dò không gian,vũ trụ
Planet,Hành tinh,vũ trụ
Celestial,Thiên thể,vũ trụ
Space Shuttle,Tàu con thoi,vũ trụ
Crater,Lỗ thủng (trên bề mặt hành tinh),vũ trụ
Black Hole,Lỗ đen,vũ trụ
Meteor,Sao băng,vũ trụ
Exoplanet,Sao ngoại hành tinh,vũ trụ
Observatory,Đài quan sát thiên văn,vũ trụ
Spacewalk,Cuộc đi bộ không gian,vũ trụ
Astral,Liên quan đến vũ trụ,vũ trụ
Space Agency,Cơ quan vũ trụ,vũ trụ
Rocket Science,Khoa học về tên lửa,vũ trụ
Nebula,Mây sao,vũ trụ
Lunar Module,Mô đun hạ cánh Mặt Trăng,vũ trụ
Telescopic,Liên quan đến kính viễn vọng,vũ trụ
Space Race,Cuộc đua vũ trụ,vũ trụ
Gravity Waves,Sóng trọng lực,vũ trụ
Extraterrestrial Life,Sự sống ngoài trái đất,vũ trụ
Solar Eclipse,Nhật thực,vũ trụ
Astronomical Unit (AU),Đơn vị thiên văn,vũ trụ
Space Junk,Rác không gian,vũ trụ
Astronomical Phenomenon,Hiện tượng thiên văn,vũ trụ
Space-Time,Thời gian không gian,vũ trụ
Interplanetary,Liên hành tinh,vũ trụ
Star Cluster,Cụm sao,vũ trụ
Planetary Exploration,Khám phá hành tinh,vũ trụ
Rocket Launch,Phóng tên lửa,vũ trụ
Milky Way,Dải Ngân Hà,vũ trụ
Space Probe,Tàu thăm dò không gian,vũ trụ
Space Travel,Du hành không gian,vũ trụ
Comet Tail,Đuôi sao chổi,vũ trụ
Lunar Rover,Xe thám hiểm Mặt Trăng,vũ trụ
Celestial Body,Thiên thể,vũ trụ
Spacewalk,Cuộc đi bộ không gian,vũ trụ
Cosmology,Nguyên hình vũ trụ,vũ trụ
Rocket Fuel,Nhiên liệu tên lửa,vũ trụ
Space Habitat,Môi trường sống không gian,vũ trụ
Meteor Shower,Mưa sao băng,vũ trụ
Lunar Surface,Bề mặt Mặt Trăng,vũ trụ
Comet Nucleus,Hạt nhân sao chổi,vũ trụ
Star Formation,Hình thành sao,vũ trụ
Space Debris,Mảnh vụn không gian,vũ trụ
Astronaut Training,Đào tạo phi hành gia,vũ trụ
Spacecraft Docking,Gắn kết tàu vũ trụ,vũ trụ
Planetary Atmosphere,Khí quyển hành tinh,vũ trụ
Space Elevator,Cầu thang không gian,vũ trụ
Cosmic Radiation,Bức xạ vũ trụ,vũ trụ
Extraterrestrial Civilization,Nền văn minh ngoài trái đất,vũ trụ
Solar Flare,Tia nắng,vũ trụ
Asteroid Belt,Dải tiểu hành tinh,vũ trụ
Rocket Launch Site,Trạm phóng tên lửa,vũ trụ
Spacewalk,Cuộc đi bộ không gian,vũ trụ
Lunar Crater,Lỗ thủng Mặt Trăng,vũ trụ
Celestial Mechanics,Cơ học thiên thể,vũ trụ
Space Agency,Cơ quan vũ trụ,vũ trụ
Galactic Center,Trung tâm ngân hà,vũ trụ
Nebular Hypothesis,Giả thuyết mây sao,vũ trụ
Lunar Eclipse,Nguyệt thực,vũ trụ
Space Debris,Mảnh vụn không gian,vũ trụ
Astronomical Event,Sự kiện thiên văn,vũ trụ
Space-Time,Thời gian không gian,vũ trụ
Interplanetary,Liên hành tinh,vũ trụ
Religion,Tôn giáo,tín ngưỡng
Scripture,Thánh kinh,tín ngưỡng
God,Thượng đế,tín ngưỡng
Faith,Đạo Tin lành,tín ngưỡng
Worship,Lễ kính,tín ngưỡng
Service,Hành động tôn thờ,tín ngưỡng
Festival,Ngày kỷ niệm tôn giáo,tín ngưỡng
Reconciliation,Quá trình hòa giải,tín ngưỡng
Bible,Sách thánh,tín ngưỡng
Prayer,Lời thỉnh cầu,tín ngưỡng
Religious Law,Quy tắc tôn giáo,tín ngưỡng
Divine,Thuộc về Thượng đế hoặc các thần thánh,tín ngưỡng
Saint,Người thánh,tín ngưỡng
Prophet,Người làm thông điệp hoặc giảng dạy từ nguồn tôn thần,tín ngưỡng
Belief, Sự tin rằng điều gì đó là đúng,tín ngưỡng
Devotion, Sự tận tụy hoặc hiến dâng sâu sắc vào một tập quán hoặc tín ngưỡng tôn thờ,tín ngưỡng
Worship, Sự tôn trọng và tôn vinh trang nghiêm được trao cho một vị thần,tín ngưỡng
Religious Ceremony, Nghi lễ tôn giáo chính thức hoặc nghi lễ,tín ngưỡng
Theology, Sự nghiên cứu về thần,tín ngưỡng
Spirituality, Sự liên quan đến tôn giáo hoặc các vấn đề tôn giáo,tín ngưỡng
Doctrine, Một bộ quy tắc hoặc nguyên tắc được giữ và giảng dạy bởi một nhóm tôn giáo,tín ngưỡng
Clergy, Ban giám đốc tôn giáo hoặc những người được phép thực hiện các nghi lễ tôn giáo,tín ngưỡng
Monastery, Tu viện,tín ngưỡng
Sacrament, Bí tích,tín ngưỡng
Church, Nhà thờ,tín ngưỡng
Synagogue, Hồi giáo,tín ngưỡng
Temple, Đền,tín ngưỡng
Mosque, Moslem,tín ngưỡng
Priest, Linh mục,tín ngưỡng
Minister, Mục sư,tín ngưỡng
Rabbi, Rabi,tín ngưỡng
Imam, Imam,tín ngưỡng
Nun, Nữ tu,tín ngưỡng
Monk, Thầy tu,tín ngưỡng
Deity, Thần thánh,tín ngưỡng
Heaven, Thiên đàng,tín ngưỡng
Hell, Địa ngục,tín ngưỡng
Meditation, Thiền,tín ngưỡng
Sacrifice, Lễ hiến tế,tín ngưỡng
Pilgrimage, Hành hương,tín ngưỡng
